ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,14,12:25:34.076,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,635,440,688,430,661,435,,,"178,42","170,72","193,27","173,73","185,85","172,23","209,73","340,42","552,39","276,14","336,96","547,85",,,,,"656,74","656,74","2,79","3,02",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,31,12:25:34.093,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,2,733,395,754,396,743,395,,,"206,00","183,37","211,92","183,02","208,96","183,19","210,13","340,64","551,71","276,45","337,38","548,02",,,,,"656,30","656,30","2,83","3,02",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,48,12:25:34.109,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,3,745,423,745,390,745,406,,,"209,43","175,43","209,20","184,69","209,32","180,06","210,23","340,69","551,58","276,57","337,50","548,16",,,,,"656,22","656,22","2,88","2,95",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,64,12:25:34.126,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,4,755,397,742,377,748,387,,,"212,18","182,71","208,36","188,46","210,27","185,58","210,34","340,82","551,76","276,72","337,65","548,47",,,,,"656,44","656,44","2,82","3,01",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,81,12:25:34.143,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,5,750,406,732,389,741,397,,,"210,73","180,45","205,54","185,15","208,14","182,80","210,44","341,09","552,20","276,87","337,58","548,54",,,,,"656,95","656,95","2,82","2,98",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,98,12:25:34.159,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,6,734,408,739,390,736,399,,,"206,28","179,87","207,56","184,89","206,92","182,38","210,59","341,25","552,11","277,02","337,45","548,57",,,,,"656,96","656,96","2,88","2,96",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,114,12:25:34.176,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,7,760,390,726,374,743,382,,,"213,57","184,73","204,09","189,21","208,83","186,97","210,74","341,06","552,36","277,19","337,40","548,68",,,,,"657,05","657,05","2,82","2,92",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,131,12:25:34.193,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,8,732,403,731,373,731,388,,,"205,62","181,24","205,35","189,52","205,48","185,38","210,92","340,81","552,50","277,37","337,46","548,93",,,,,"657,01","657,01","2,83","2,90",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,148,12:25:34.209,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,9,773,370,724,377,748,373,,,"217,28","190,40","203,52","188,41","210,40","189,40","211,03","341,38","552,73","277,54","337,46","549,01",,,,,"657,52","657,52","2,77","2,94",0,0,,,
26.08.2014,03.02.2002,Flowers,Bib,P02,Rec 02,26.08.2014,16773,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,164,12:25:34.226,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,10,776,522,717,408,746,465,,,"217,89","147,94","201,55","179,76","209,72","163,85","211,30","341,70","552,49","277,62","337,29","548,92",,,,,"657,51","657,51","2,53","2,91",0,0,,,
