ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,18,12:20:24.313,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,713,301,698,270,705,285,,,"200,27","209,80","196,07","218,44","198,17","214,12","215,30","341,43","567,72","281,79","337,89","565,43",,,,,"669,71","669,71","3,05","3,19",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,34,12:20:24.329,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,2,707,287,719,277,713,282,,,"198,65","213,70","202,02","216,46","200,34","215,08","215,21","341,61","567,93","281,70","337,95","565,43",,,,,"669,99","669,99","3,02","3,18",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,51,12:20:24.346,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,3,715,296,719,291,717,293,,,"200,92","211,13","201,95","212,39","201,44","211,76","215,15","341,77","568,11","281,65","337,94","565,40",,,,,"670,22","670,22","3,01","3,24",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,68,12:20:24.363,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,4,718,297,695,305,706,301,,,"201,78","210,70","195,16","208,49","198,47","209,60","215,09","341,55","567,76","281,61","337,94","565,48",,,,,"669,82","669,82","3,01","3,23",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,84,12:20:24.379,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,5,706,279,706,273,706,276,,,"198,32","215,77","198,31","217,56","198,31","216,66","215,01","341,71","568,05","281,54","337,86","565,51",,,,,"670,15","670,15","2,96","3,17",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,101,12:20:24.396,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,6,717,293,708,271,712,282,,,"201,40","212,07","199,00","218,20","200,20","215,14","214,94","341,46","567,66","281,45","337,80","565,43",,,,,"669,68","669,68","2,96","3,16",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,118,12:20:24.413,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,7,723,300,713,248,718,274,,,"203,17","210,09","200,24","224,49","201,71","217,29","214,82","341,77","567,96","281,32","337,50","564,98",,,,,"670,11","670,11","2,92","3,11",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,134,12:20:24.429,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,8,723,316,723,290,723,303,,,"203,07","205,45","203,06","212,80","203,06","209,13","214,81","341,97","567,94","281,10","337,77","565,22",,,,,"670,21","670,21","3,02","3,06",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,151,12:20:24.446,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,9,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Campus,P01,Rec 01,26.08.2014,11939,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,168,12:20:24.463,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,10,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
