ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,19,12:16:02.278,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,450,819,474,903,462,861,,,"126,45","64,75","133,19","41,14","129,82","52,95","202,43","336,12","559,56","268,81","334,21","552,66",,,,,"660,50","660,50","2,78","3,11",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,36,12:16:02.295,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,2,467,869,472,921,469,895,,,"131,34","50,66","132,52","36,02","131,93","43,34","202,45","336,04","559,51","268,83","334,25","552,78",,,,,"660,42","660,42","2,90","3,17",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,52,12:16:02.311,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,3,451,827,472,868,461,847,,,"126,76","62,53","132,52","50,91","129,64","56,72","202,46","336,05","559,56","268,86","334,15","552,70",,,,,"660,47","660,47","2,83","3,06",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,69,12:16:02.328,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,4,451,841,457,865,454,853,,,"126,76","58,53","128,49","51,66","127,63","55,10","202,49","336,01","559,51","268,88","334,13","552,72",,,,,"660,41","660,41","2,88","3,05",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,86,12:16:02.345,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,5,465,835,463,847,464,841,,,"130,76","60,33","129,98","56,91","130,37","58,62","202,52","336,02","559,55","268,92","334,10","552,73",,,,,"660,44","660,44","2,86","3,00",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,102,12:16:02.361,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,6,457,860,461,879,459,869,,,"128,38","53,26","129,52","48,00","128,95","50,63","202,55","335,97","559,54","268,94","334,06","552,76",,,,,"660,40","660,40","2,95","3,14",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,119,12:16:02.378,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,7,460,915,454,883,457,899,,,"129,32","37,86","127,51","46,84","128,42","42,35","202,58","335,95","559,58","268,97","333,94","552,68",,,,,"660,42","660,42","3,03","3,12",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,136,12:16:02.395,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,8,456,871,455,835,455,853,,,"128,12","50,04","127,97","60,09","128,04","55,07","202,60","335,91","559,62","268,99","333,86","552,72",,,,,"660,43","660,43","2,96","3,05",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,152,12:16:02.411,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,250,,,9,422,886,444,909,433,897,,,"118,68","46,03","124,76","39,54","121,72","42,78","202,54","335,96","559,82","268,94","334,03","553,08",,,,,"660,63","660,63","3,00","3,19",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P03,Rec 03,26.08.2014,17346,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,169,12:16:02.428,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,250,,,10,400,898,413,912,406,905,,,"112,26","42,62","116,10","38,76","114,18","40,69","202,48","336,03","559,92","268,86","333,96","552,96",,,,,"660,75","660,75","2,96","3,15",0,0,,,
