ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,38,14:17:50.994,1.41286E+15,,,,,,,,,,,,,,,,,,,,,,1,922,681,1039,639,980,660,,,"258,92","103,40","291,80","115,05","275,36","109,22","203,47","279,05","520,03","270,18","280,09","519,86",,,,,"596,17","596,17","3,13","3,14",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,55,14:17:51.011,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,2,909,685,1016,613,962,649,,,"255,35","102,13","285,55","122,38","270,45","112,25","203,49","278,94","519,85","270,10","280,11","519,97",,,,,"595,96","595,96","3,05","3,16",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,71,14:17:51.028,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,3,918,667,1011,602,964,634,,,"258,01","107,17","284,07","125,39","271,04","116,28","203,45","278,92","519,87","270,06","279,93","519,76",,,,,"595,98","595,98","3,01","3,14",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,88,14:17:51.044,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,4,915,682,1010,612,962,647,,,"256,97","102,92","283,62","122,58","270,30","112,75","203,42","278,88","519,88","270,04","279,91","519,77",,,,,"595,97","595,97","3,02","3,13",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,104,14:17:51.061,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,5,920,682,1007,601,963,641,,,"258,38","103,01","282,78","125,76","270,58","114,38","203,40","278,83","519,88","270,01","279,90","519,79",,,,,"595,94","595,94","2,95","3,05",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,121,14:17:51.078,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,6,915,682,1001,601,958,641,,,"256,99","103,13","281,20","125,72","269,10","114,42","203,35","278,86","519,99","269,98","279,93","519,87",,,,,"596,04","596,04","2,97","3,06",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,138,14:17:51.094,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,7,920,681,1012,591,966,636,,,"258,49","103,18","284,43","128,39","271,46","115,79","203,32","278,80","519,93","269,95","280,00","519,98",,,,,"595,96","595,96","2,96","3,04",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,154,14:17:51.111,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,8,931,676,1014,586,972,631,,,"261,58","104,66","284,82","129,83","273,20","117,25","203,28","278,81","519,96","269,91","280,02","520,02",,,,,"596,00","596,00","2,93","3,02",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,171,14:17:51.128,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,9,915,699,1001,618,958,658,,,"257,11","98,28","281,28","121,05","269,20","109,66","203,26","278,80","519,98","269,87","279,95","519,90",,,,,"596,01","596,01","2,99","3,06",0,0,,,
09.10.2014,03.02.2002,Website,WeST,P01,Rec 01,09.10.2014,35068,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,188,14:17:51.144,1.41286E+15,,,,,,,,,,,,,,,,1,,Fixation,150,,,10,924,681,1004,604,964,642,,,"259,49","103,33","282,09","124,93","270,79","114,13","203,25","278,79","519,99","269,85","279,95","519,92",,,,,"596,01","596,01","2,94","3,04",0,0,,,
