ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33025,14:35:37.166,,,,,,,,,,6,URLStart,http://www.eyevido.de/,,,,,100,,Fixation,849,1412,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33030,14:35:37.172,1415282226746470,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1983,1424,683,1405,691,1414,687,1412,685,400,11,102,63,394,65,100,44,397,38,101,53,246,8,239,47,446,35,308,10,233,74,446,35,,,,,511,96,511,96,2,66,2,72,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33047,14:35:37.188,1415282226763090,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1984,1410,677,1413,669,1411,673,1409,671,396,13,104,31,397,8,106,64,396,60,105,48,246,31,239,48,446,31,308,25,233,69,446,31,,,,,511,94,511,94,2,60,2,63,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33063,14:35:37.205,1415282226779840,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1985,1422,682,1423,667,1422,674,1420,672,399,39,103,4,399,67,107,26,399,53,105,15,246,44,239,49,446,29,308,42,233,71,446,39,,,,,511,94,511,94,2,62,2,61,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33080,14:35:37.222,1415282226796470,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1986,1412,686,1413,670,1412,678,1410,676,396,61,101,92,397,6,106,49,396,84,104,20,246,61,239,54,446,34,308,58,233,65,446,32,,,,,512,1,512,1,2,63,2,61,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33097,14:35:37.238,1415282226813090,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1987,1423,665,1419,668,1421,666,1419,664,399,69,107,86,398,64,106,94,399,16,107,40,246,75,239,54,446,31,308,71,233,64,446,35,,,,,511,99,511,99,2,60,2,59,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33113,14:35:37.255,1415282226829710,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1988,1418,662,1425,677,1421,669,1419,667,398,36,108,74,400,44,104,30,399,40,106,52,246,90,239,63,446,39,308,88,233,81,446,66,,,,,512,10,512,10,2,62,2,66,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33130,14:35:37.272,1415282226846460,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1989,1445,686,1414,675,1429,680,1427,678,406,3,101,98,397,38,105,1,401,70,103,49,246,97,239,63,446,36,308,99,233,76,446,63,,,,,512,8,512,8,2,67,2,66,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33147,14:35:37.288,1415282226863080,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1990,1388,675,1412,693,1400,684,1398,682,389,97,105,6,396,61,99,91,393,29,102,49,247,20,239,65,446,34,309,11,233,76,446,66,,,,,512,7,512,7,2,63,2,68,0,0
06.11.2014,3.2.2,eyevido,webseite,P01,Rec 01,06.11.2014,65884,1680 x 1050,Tobii Fixation Filter,http://www.eyevido.de/ (CRC),2,2,1663,4220,,,,,,,,,33163,14:35:37.305,1415282226879710,,,,,,,,,,,,,,,,100,,Fixation,849,1412,671,1991,1413,667,1433,648,1423,657,1421,655,396,87,107,31,402,56,112,56,399,72,109,93,247,26,239,66,446,30,309,22,233,82,446,76,,,,,512,5,512,5,2,65,2,57,0,0
