ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,19,12:08:49.619,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,790,471,832,501,811,486,,,"222,00","162,11","233,64","153,79","227,82","157,95","212,84","342,79","534,81","279,46","339,23","531,49",,,,,"643,73","643,73","3,11","3,23",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,36,12:08:49.636,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,2,785,493,840,511,812,502,,,"220,56","155,90","236,02","150,92","228,29","153,41","212,87","342,75","534,90","279,48","339,12","531,48",,,,,"643,78","643,78","3,14","3,20",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,52,12:08:49.652,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,3,784,495,832,506,808,500,,,"220,25","155,39","233,80","152,45","227,02","153,92","212,86","342,69","534,98","279,47","339,12","531,64",,,,,"643,81","643,81","3,14","3,22",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,69,12:08:49.669,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,4,787,488,839,482,813,485,,,"221,18","157,30","235,66","159,05","228,42","158,18","212,82","342,67","535,07","279,42","339,05","531,61",,,,,"643,87","643,87","3,08","3,17",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,86,12:08:49.686,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,5,795,486,831,498,813,492,,,"223,23","158,01","233,39","154,55","228,31","156,28","212,74","342,74","535,24","279,33","338,99","531,52",,,,,"644,05","644,05","3,05","3,12",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,102,12:08:49.702,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,6,794,466,839,503,816,484,,,"223,17","163,54","235,82","153,28","229,50","158,41","212,62","342,73","535,31","279,20","338,99","531,51",,,,,"644,11","644,11","3,04","3,11",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,119,12:08:49.719,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,7,782,473,840,472,811,472,,,"219,71","161,56","236,01","161,79","227,86","161,68","212,49","342,64","535,24","279,07","339,06","531,61",,,,,"644,00","644,00","2,99","3,09",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,136,12:08:49.736,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,8,805,482,834,490,819,486,,,"226,11","158,97","234,28","156,82","230,19","157,89","212,36","342,63","535,26","278,93","339,10","531,61",,,,,"644,01","644,01","2,99","3,06",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,152,12:08:49.752,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,117,,,9,773,484,828,528,800,506,,,"217,30","158,55","232,63","146,06","224,97","152,31","212,17","342,54","535,36","278,64","338,80","531,29",,,,,"644,05","644,05","2,95","3,10",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P02,Rec 02,26.08.2014,17156,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,169,12:08:49.769,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,183,,,10,666,637,707,613,686,625,,,"187,20","115,69","198,70","122,36","192,95","119,03","211,85","342,56","535,86","278,13","338,62","531,50",,,,,"644,48","644,48","2,93","3,06",0,0,,,
