ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														17	11:27:07.608	1.39747E+15																		Unclassified	17			1																			-37,02										4	4			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														33	11:27:07.624	1.39747E+15																		Unclassified	17			2	896	442	932	446	914	444			251,72	170,27	261,98	169,17	256,85	169,72	207,68	296,72	536,90	274,24	296,06	537,22					619,64	619,64	3,24	3,39	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														50	11:27:07.641	1.39747E+15																1		Fixation	283			3	892	455	925	447	908	451			250,60	166,48	259,88	168,88	255,24	167,68	207,77	296,83	536,98	274,35	295,92	536,99					619,77	619,77	3,27	3,34	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														67	11:27:07.658	1.39747E+15																1		Fixation	283			4	894	454	936	445	915	449			251,04	167,00	262,84	169,36	256,94	168,18	207,90	296,66	536,68	274,46	295,72	536,71					619,41	619,41	3,21	3,29	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														83	11:27:07.674	1.39747E+15																1		Fixation	283			5	889	456	932	439	910	447			249,71	166,35	261,87	171,14	255,79	168,75	208,03	296,77	536,74	274,60	295,64	536,59					619,52	619,52	3,19	3,26	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														100	11:27:07.691	1.39747E+15																1		Fixation	283			6	907	448	937	439	922	443			254,95	168,61	263,28	171,01	259,11	169,81	208,17	296,78	536,62	274,75	295,58	536,48					619,41	619,41	3,12	3,25	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														117	11:27:07.708	1.39747E+15																1		Fixation	283			7	903	466	929	452	916	459			253,83	163,59	261,11	167,44	257,47	165,52	208,30	296,79	536,51	274,91	295,49	536,35					619,32	619,32	3,11	3,25	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														133	11:27:07.724	1.39747E+15																1		Fixation	283			8	916	448	940	443	928	445			257,23	168,65	264,17	169,85	260,70	169,25	208,46	296,79	536,40	275,07	295,42	536,25					619,22	619,22	3,07	3,22	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														150	11:27:07.741	1.39747E+15																1		Fixation	283			9	905	469	932	436	918	452			254,28	162,72	261,87	171,80	258,08	167,26	208,60	296,69	536,09	275,21	295,37	536,15					618,91	618,91	3,09	3,19	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														167	11:27:07.757	1.39747E+15																1		Fixation	283			10	901	471	932	451	916	461			253,14	162,21	261,81	167,76	257,48	164,99	208,75	296,59	535,83	275,33	295,36	536,13					618,62	618,62	3,06	3,17	0	0			
14.04.2014	03.02.2002	Test2	New test	P01	Rec 01	14.04.2014	10324	1680 x 1050														183	11:27:07.774	1.39747E+15																1		Fixation	283			11	920	445	926	455	923	450			258,42	169,29	260,30	166,56	259,36	167,93	208,84	296,56	535,74	275,45	295,35	536,12					618,53	618,53	3,01	3,16	0	0			
