ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,15,12:21:21.127,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,711,290,715,283,713,286,,,"199,88","212,88","200,75","214,64","200,32","213,76","201,76","341,93","565,04","268,28","339,48","560,80",,,,,"668,33","668,33","3,06","3,18",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,32,12:21:21.144,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,2,718,276,708,301,713,288,,,"201,78","216,86","198,91","209,77","200,35","213,31","201,76","341,93","565,03","268,31","339,54","560,86",,,,,"668,33","668,33","3,05","3,17",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,49,12:21:21.161,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,3,716,284,719,292,717,288,,,"201,19","214,57","201,91","212,23","201,55","213,40","201,78","341,87","564,97","268,33","339,50","560,80",,,,,"668,24","668,24","3,04","3,14",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,65,12:21:21.177,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,4,730,269,719,277,724,273,,,"204,97","218,56","202,11","216,30","203,54","217,43","201,81","341,87","564,96","268,35","339,47","560,74",,,,,"668,24","668,24","3,03","3,10",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,82,12:21:21.194,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,5,677,244,720,293,698,268,,,"190,23","225,70","202,36","211,87","196,29","218,78","201,93","341,90","564,90","268,42","339,74","561,08",,,,,"668,19","668,19","2,91","3,11",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,99,12:21:21.211,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,6,691,241,711,266,701,253,,,"194,04","226,61","199,86","219,54","196,95","223,08","201,95","341,89","564,86","268,47","339,68","560,98",,,,,"668,16","668,16","2,93","3,03",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,115,12:21:21.227,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,7,699,237,710,244,704,240,,,"196,35","227,57","199,50","225,68","197,92","226,63","202,01","341,93","564,92","268,54","339,66","561,00",,,,,"668,22","668,22","2,88","2,99",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,132,12:21:21.244,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,8,691,239,711,278,701,258,,,"194,04","226,96","199,77","216,05","196,90","221,50","202,06","341,62","565,01","268,60","339,70","561,10",,,,,"668,12","668,12","2,82","3,05",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,149,12:21:21.261,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,9,718,285,702,278,710,281,,,"201,74","214,26","197,10","216,26","199,42","215,26","202,07","341,81","564,72","268,67","339,51","560,81",,,,,"668,00","668,00","2,93","3,06",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,165,12:21:21.277,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,10,724,272,708,286,716,279,,,"203,32","217,86","198,90","213,92","201,11","215,89","202,12","341,92","564,86","268,72","339,60","560,93",,,,,"668,16","668,16","2,90","3,01",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,182,12:21:21.294,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,11,721,278,706,256,713,267,,,"202,69","216,22","198,38","222,27","200,53","219,25","202,19","341,88","564,82","268,78","339,48","560,82",,,,,"668,11","668,11","2,92","2,97",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,199,12:21:21.311,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,12,720,279,709,267,714,273,,,"202,24","215,91","199,09","219,32","200,67","217,61","202,25","341,78","564,69","268,86","339,65","561,14",,,,,"667,94","667,94","2,93","2,94",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,215,12:21:21.327,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,13,722,288,711,269,716,278,,,"202,83","213,40","199,83","218,75","201,33","216,08","202,28","341,83","564,80","268,89","339,40","560,81",,,,,"668,06","668,06","2,92","2,96",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,232,12:21:21.344,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,14,723,283,722,268,722,275,,,"203,06","214,66","202,93","218,85","202,99","216,75","202,31","341,88","564,89","268,91","339,36","560,74",,,,,"668,16","668,16","2,90","2,92",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,249,12:21:21.361,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,15,717,286,715,275,716,280,,,"201,43","213,82","200,78","216,94","201,10","215,38","202,35","341,87","564,86","268,94","339,39","560,78",,,,,"668,13","668,13","2,89","2,93",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,265,12:21:21.377,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,16,730,295,710,269,720,282,,,"204,98","211,40","199,54","218,55","202,26","214,98","202,37","341,92","564,90","269,00","339,63","561,13",,,,,"668,18","668,18","2,90","2,93",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,282,12:21:21.394,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,17,712,290,703,261,707,275,,,"200,05","212,82","197,60","220,87","198,83","216,85","202,41","341,82","564,77","269,03","339,64","561,17",,,,,"668,02","668,02","2,86","2,94",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,299,12:21:21.411,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,18,725,290,708,254,716,272,,,"203,81","212,84","198,88","222,89","201,34","217,86","202,43","341,82","564,77","269,05","339,63","561,16",,,,,"668,02","668,02","2,83","2,87",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,315,12:21:21.427,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,19,720,284,727,263,723,273,,,"202,15","214,58","204,29","220,32","203,22","217,45","202,44","341,84","564,82","269,06","339,61","561,13",,,,,"668,08","668,08","2,82","2,94",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,332,12:21:21.444,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,20,718,285,714,277,716,281,,,"201,60","214,16","200,51","216,31","201,05","215,23","202,45","341,87","564,86","269,06","339,57","561,07",,,,,"668,12","668,12","2,84","2,91",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,348,12:21:21.461,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,21,721,282,709,264,715,273,,,"202,43","214,99","199,22","220,05","200,83","217,52","202,45","341,84","564,79","269,07","339,47","560,89",,,,,"668,05","668,05","2,78","2,86",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,365,12:21:21.477,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,22,728,270,707,273,717,271,,,"204,39","218,42","198,73","217,48","201,56","217,95","202,45","341,82","564,74","269,07","339,48","560,88",,,,,"668,00","668,00","2,79","2,88",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,382,12:21:21.494,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,23,730,287,719,261,724,274,,,"205,02","213,52","202,01","221,06","203,51","217,29","202,44","341,82","564,70","269,06","339,49","560,88",,,,,"667,96","667,96","2,78","2,86",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,398,12:21:21.511,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,24,725,260,715,276,720,268,,,"203,59","221,31","200,77","216,82","202,18","219,07","202,47","342,00","564,99","269,07","339,50","560,90",,,,,"668,31","668,31","2,76","2,86",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,415,12:21:21.527,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,383,,,25,808,358,825,354,816,356,,,"226,96","193,89","231,84","194,85","229,40","194,37","202,80","341,55","564,75","269,25","339,51","561,37",,,,,"667,83","667,83","2,80","2,88",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,432,12:21:21.544,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,899,,,26,867,426,887,397,877,411,,,"243,47","174,65","249,21","182,81","246,34","178,73","202,96","341,56","564,90","269,43","339,35","561,37",,,,,"667,95","667,95","2,82","2,87",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,448,12:21:21.561,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,899,,,27,855,407,879,395,867,401,,,"240,08","179,99","247,07","183,41","243,58","181,70","202,95","341,53","564,84","269,44","339,25","561,20",,,,,"667,89","667,89","2,79","2,87",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,465,12:21:21.577,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,899,,,28,850,414,878,391,864,402,,,"238,81","178,10","246,79","184,47","242,80","181,29","202,94","341,54","564,83","269,45","339,26","561,20",,,,,"667,89","667,89","2,79","2,88",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,482,12:21:21.594,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,899,,,29,864,407,880,387,872,397,,,"242,62","180,09","247,27","185,61","244,94","182,85","202,92","341,60","564,90","269,47","339,29","561,23",,,,,"667,98","667,98","2,80","2,85",0,0,,,
26.08.2014,03.02.2002,Flowers,Campus,P03,Rec 03,26.08.2014,12070,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,498,12:21:21.611,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,899,,,30,858,342,884,326,871,334,,,"241,09","198,14","248,37","202,79","244,73","200,47","202,96","341,67","564,96","269,49","339,32","561,27",,,,,"668,06","668,06","2,68","2,72",0,0,,,
