ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,17,12:14:06.310,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,818,488,845,421,831,454,,,"229,87","157,25","237,51","176,12","233,69","166,68","213,76","344,62","542,08","280,25","340,44","539,41",,,,,"650,64","650,64","2,99","3,11",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,34,12:14:06.327,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,2,823,459,838,430,830,444,,,"231,18","165,58","235,40","173,53","233,29","169,55","213,86","344,58","542,14","280,34","340,40","539,55",,,,,"650,67","650,67","2,93","3,12",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,50,12:14:06.343,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,3,803,488,840,409,821,448,,,"225,51","157,43","236,04","179,60","230,77","168,51","213,90","344,61","542,31","280,37","340,36","539,71",,,,,"650,82","650,82","2,95","3,09",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,67,12:14:06.360,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,4,800,494,850,406,825,450,,,"224,88","155,62","238,80","180,29","231,84","167,96","213,90","344,58","542,44","280,38","340,33","539,89",,,,,"650,91","650,91","2,99","3,04",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,83,12:14:06.377,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,5,827,458,848,403,837,430,,,"232,30","165,64","238,15","181,15","235,23","173,39","213,89","344,53","542,52","280,37","340,45","540,21",,,,,"650,95","650,95","2,88","3,05",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,100,12:14:06.393,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,6,832,504,830,463,831,483,,,"233,72","152,96","233,30","164,43","233,51","158,70","213,84","344,65","542,78","280,36","340,70","540,68",,,,,"651,23","651,23","2,91","3,10",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,117,12:14:06.410,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,7,837,545,809,490,823,517,,,"235,06","141,27","227,41","156,72","231,23","149,00","213,91","345,10","543,25","280,24","340,91","540,89",,,,,"651,87","651,87","2,97","3,12",0,0,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,133,12:14:06.427,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,100,,,8,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,150,12:14:06.443,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,9,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,167,12:14:06.460,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,10,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,183,12:14:06.477,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,11,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,200,12:14:06.493,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,12,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,217,12:14:06.510,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,13,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,233,12:14:06.527,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,14,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,250,12:14:06.543,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,15,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,267,12:14:06.560,1.40905E+15,,,,,,,,,,,,,,,,,,Unclassified,133,,,16,725,454,,,725,454,,,"203,82","166,91",,,,,"213,52","344,75","544,63",,"-37,02",,,,,,"652,79",,"2,70",,0,4,,,
26.08.2014,03.02.2002,Flowers,Tulpe,P01,Rec 01,26.08.2014,16955,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,283,12:14:06.577,1.40905E+15,,,,,,,,,,,,,,,,2,,Fixation,200,,,17,724,491,722,497,723,494,,,"203,46","156,62","202,83","154,83","203,15","155,72","213,64","344,56","544,59","280,14","340,88","542,73",,,,,"652,65","652,65","2,84","2,94",0,0,,,
