ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,18,11:23:51.772,1.40E+15,,,,,,,,,,,,,,,,,,Unclassified,17,,,1,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,35,11:23:51.789,1.40E+15,,,,,,,,,,,,,,,,,,Unclassified,17,,,2,478,906,490,818,484,862,,,"134,35","40,41","137,70","64,99","136,02","52,70","196,97","275,51","551,00","262,78","273,89","545,32",,,,,"621,18","621,18","2,32","2,27",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,51,11:23:51.805,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,3,465,903,497,866,481,884,,,"130,77","41,17","139,61","51,65","135,19","46,41","196,90","275,66","550,93","262,73","273,91","544,83",,,,,"621,20","621,20","2,29","2,38",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,68,11:23:51.822,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,4,480,860,491,828,485,844,,,"134,92","53,33","137,86","62,06","136,39","57,69","196,87","275,86","550,78","262,73","274,07","544,51",,,,,"621,18","621,18","2,20","2,24",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,85,11:23:51.839,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,5,478,865,493,894,485,879,,,"134,37","51,80","138,52","43,73","136,44","47,77","196,91","276,05","550,59","262,78","274,07","543,96",,,,,"621,11","621,11","2,19","2,43",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,101,11:23:51.855,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,6,461,880,501,886,481,883,,,"129,60","47,64","140,78","46,02","135,19","46,83","197,01","276,21","550,26","262,88","274,21","543,70",,,,,"620,89","620,89","2,24","2,43",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,118,11:23:51.872,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,7,472,876,499,919,485,897,,,"132,73","48,81","140,29","36,57","136,51","42,69","197,13","276,47","550,11","263,04","274,26","543,31",,,,,"620,89","620,89","2,19","2,49",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,135,11:23:51.888,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,8,464,885,476,875,470,880,,,"130,30","46,29","133,82","49,09","132,06","47,69","197,31","276,66","549,85","263,22","274,27","542,96",,,,,"620,75","620,75","2,24","2,35",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,151,11:23:51.905,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,9,473,872,485,839,479,855,,,"132,75","49,90","136,21","59,15","134,48","54,53","197,50","276,81","549,55","263,43","274,31","542,73",,,,,"620,55","620,55","2,18","2,24",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,168,11:23:51.922,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,10,473,891,485,846,479,868,,,"132,80","44,58","136,38","57,13","134,59","50,86","197,71","276,89","549,13","263,64","274,29","542,42",,,,,"620,23","620,23","2,23","2,30",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,185,11:23:51.938,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,11,462,848,484,887,473,867,,,"129,81","56,60","136,08","45,75","132,94","51,18","197,92","277,02","548,93","263,85","274,22","542,06",,,,,"620,10","620,10","2,13","2,37",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,201,11:23:51.955,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,12,427,811,489,883,458,847,,,"120,01","66,94","137,51","46,84","128,76","56,89","198,12","276,76","548,72","264,06","274,25","541,90",,,,,"619,78","619,78","1,97","2,36",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,218,11:23:51.972,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,13,477,791,510,768,493,779,,,"133,91","72,40","143,37","78,95","138,64","75,68","198,33","277,31","548,33","264,28","274,42","541,63",,,,,"619,71","619,71","2,15","2,32",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,235,11:23:51.988,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,14,512,547,599,502,555,524,,,"143,85","140,96","168,23","153,37","156,04","147,16","198,61","277,85","548,52","264,44","274,40","541,42",,,,,"620,13","620,13","2,26","2,45",0,0,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,251,11:23:52.005,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,216,,,15,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,268,11:23:52.022,1.40E+15,,,,,,,,,,,,,,,,,,Unclassified,150,,,16,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,285,11:23:52.038,1.40E+15,,,,,,,,,,,,,,,,,,Unclassified,150,,,17,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
07.07.2014,03.02.2002,Exist-Screenshot,10sec,P01,Rec 03,07.07.2014,11835,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,301,11:23:52.055,1.40E+15,,,,,,,,,,,,,,,,,,Unclassified,150,,,18,,,,,,,,,,,,,,,,,,,"-37,02",,,,,,,,,,4,4,,,
