ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,34,12:06:51.346,1.40905E+15,,,,,,,,,,,,,,,,,,,,,,1,637,776,651,721,644,748,,,"178,88","76,86","182,95","92,16","180,91","84,51","207,89","346,58","546,33","274,06","343,71","541,63",,,,,"655,46","655,46","3,32","3,51",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,51,12:06:51.363,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,2,586,785,617,729,601,757,,,"164,57","74,30","173,23","89,81","168,90","82,06","207,55","346,53","546,44","273,77","343,70","541,74",,,,,"655,54","655,54","3,25","3,42",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,67,12:06:51.380,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,3,593,762,604,720,598,741,,,"166,72","80,66","169,78","92,40","168,25","86,53","207,36","346,61","546,62","273,66","343,85","541,97",,,,,"655,74","655,74","3,20","3,37",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,84,12:06:51.396,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,4,583,806,595,784,589,795,,,"163,90","68,24","167,11","74,39","165,51","71,31","207,22","346,51","546,58","273,54","343,90","542,10",,,,,"655,65","655,65","3,28","3,46",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,101,12:06:51.413,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,5,591,793,598,770,594,781,,,"166,00","71,83","168,01","78,31","167,01","75,07","207,07","346,43","546,60","273,41","343,85","542,12",,,,,"655,63","655,63","3,27","3,44",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,117,12:06:51.430,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,6,595,810,589,784,592,797,,,"167,21","67,24","165,37","74,50","166,29","70,87","206,93","346,50","546,75","273,33","343,89","542,22",,,,,"655,80","655,80","3,32","3,47",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,134,12:06:51.446,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,7,581,812,599,772,590,792,,,"163,18","66,60","168,32","77,86","165,75","72,23","206,84","346,57","546,93","273,25","343,93","542,33",,,,,"655,99","655,99","3,29","3,42",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,151,12:06:51.463,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,8,593,803,597,763,595,783,,,"166,53","69,18","167,74","80,25","167,14","74,71","206,77","346,58","547,07","273,22","343,97","542,47",,,,,"656,11","656,11","3,25","3,43",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,167,12:06:51.480,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,9,585,816,590,788,587,802,,,"164,26","65,58","165,85","73,31","165,06","69,45","206,76","346,48","547,13","273,22","343,92","542,55",,,,,"656,10","656,10","3,29","3,43",0,0,,,
26.08.2014,03.02.2002,Flowers,Mohn,P01,Rec 01,26.08.2014,16873,1680 x 1050,Tobii Fixation Filter,,,,,,,,,,,,,,184,12:06:51.496,1.40905E+15,,,,,,,,,,,,,,,,1,,Fixation,233,,,10,610,766,599,746,604,756,,,"171,39","79,41","168,32","85,06","169,85","82,24","206,79","346,38","547,30","273,26","343,96","542,85",,,,,"656,18","656,18","3,14","3,30",0,0,,,
