ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,MouseEventIndex,MouseEvent,MouseEventX (ADCSpx),MouseEventY (ADCSpx),MouseEventX (MCSpx),MouseEventY (MCSpx),KeyPressEventIndex,KeyPressEvent,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),AOI[Rectangle]Hit,AOI[Rectangle 2]Hit,AOI[Rectangle 3]Hit,AOI[Rectangle 4]Hit,GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,968,12:23:10.667,1.40E+15,,,,,,,,,,,,,,,,1,,Fixation,516,671,384,1,0,0,0,1,847,532,889,510,868,521,668,391,"237,90","145,15","249,66","151,21","243,78","148,18","209,79","275,82","520,34","276,13","274,60","516,23",,,,,"594,42","594,42","3,31","3,59",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,1284,12:23:10.984,1.40E+15,,,,,,,,,,,,,,,,2,,Fixation,366,648,464,1,0,0,0,20,826,602,862,580,844,591,644,461,"231,93","125,52","242,24","131,49","237,09","128,51","209,16","275,69","520,21","275,45","274,62","516,14",,,,,"594,27","594,27","3,34","3,56",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,1651,12:23:11.350,1.40E+15,,,,,,,,,,,,,,,,3,,Fixation,316,464,549,1,0,0,0,42,638,689,667,661,652,675,452,545,"179,12","101,01","187,50","108,96","183,31","104,98","208,51","275,63","520,57","274,67","274,00","515,61",,,,,"594,57","594,57","2,95","3,17",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,1967,12:23:11.667,1.40E+15,,,,,,,,,,,,,,,,4,,Fixation,433,181,607,0,0,0,1,61,372,732,415,709,393,720,193,590,"104,62","89,04","116,69","95,50","110,66","92,27","206,74","275,02","520,03","272,86","274,11","515,69",,,,,"593,88","593,88","2,99","3,26",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,2400,12:23:12.100,1.40E+15,,,,,,,,,,,,,,,,5,,Fixation,216,111,617,0,0,0,1,87,282,744,321,750,301,747,101,617,"79,19","85,77","90,19","84,01","84,69","84,89","206,38","274,78","520,00","272,65","273,92","515,50",,,,,"593,74","593,74","2,99","3,32",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,2617,12:23:12.316,1.40E+15,,,,,,,,,,,,,,,,6,,Fixation,716,71,602,0,0,0,1,100,247,729,297,736,272,732,72,602,"69,48","89,94","83,47","87,90","76,48","88,92","206,50","274,48","519,42","272,74","273,62","514,90",,,,,"593,09","593,09","3,08","3,38",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,3333,12:23:13.033,1.40E+15,,,,,,,,,,,,,,,,7,,Fixation,167,224,538,0,0,0,1,143,391,671,454,662,422,666,222,536,"109,80","106,14","127,50","108,64","118,65","107,39","207,19","274,72","519,75","273,48","273,65","514,76",,,,,"593,47","593,47","3,03","3,32",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,3500,12:23:13.199,1.40E+15,,,,,,,,,,,,,,,,8,,Fixation,216,538,511,1,0,0,0,153,652,657,695,631,673,644,473,514,"183,14","110,00","195,20","117,23","189,17","113,62","207,76","274,60","519,44","274,05","273,34","514,16",,,,,"593,11","593,11","3,06","3,26",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,3716,12:23:13.416,1.40E+15,,,,,,,,,,,,,,,,9,,Fixation,200,883,473,1,0,0,0,166,1036,623,1100,589,1068,606,868,476,"291,10","119,59","308,93","129,09","300,01","124,34","209,11","274,37","518,99","275,33","273,65","514,73",,,,,"592,54","592,54","3,05","3,27",0,0,,,
18.03.2014,03.02.2002,TestEyetrackingSoftware,test1,P01,Rec 01,18.03.2014,6930,1680 x 1050,Tobii Fixation Filter,001-ferrari-laferrari-1362484808.jpg,200,130,1280,790,,,,,,,,,3916,12:23:13.615,1.40E+15,,,,,,,,,,,,,,,,10,,Fixation,233,1123,499,0,0,0,0,178,1300,651,1358,610,1329,630,1129,500,"365,30","111,79","381,41","123,30","373,35","117,55","210,02","274,29","519,10","276,27","273,50","515,00",,,,,"592,55","592,55","2,97","3,22",0,0,,,
